rank	player_name	team	points	gp	avg_points
54	Rachaad White	TB	29.2	9	3.2
55	J.D. McKissic	WAS	28.8	8	3.6
56	Brian Robinson Jr.	WAS	28.6	5	5.7
57	Nyheim Hines	Multi	28.4	8	3.6
58	James Cook	BUF	28.3	8	3.5
59	J.K. Dobbins	BAL	28.2	4	7.1
60	Mark Ingram II	NO	28.2	8	3.5
61	Rex Burkhead	HOU	27.2	8	3.4
62	Isiah Pacheco	KC	27.0	8	3.4
63	Javonte Williams	DEN	26.0	4	6.5
64	Gus Edwards	BAL	25.1	2	12.6
65	Jaylen Warren	PIT	24.1	8	3.0
66	Kyle Juszczyk	SF	22.3	7	3.2
67	Joshua Kelley	LAC	22.0	5	4.4
68	Craig Reynolds	DET	21.8	7	3.1
69	Cam Akers	LAR	21.2	6	3.5
70	Justice Hill	BAL	19.7	7	2.8
71	Tevin Coleman	SF	19.0	2	9.5
72	Darrel Williams	ARI	17.1	5	3.4
73	JaMycal Hasty	JAC	16.7	7	2.4
74	Sony Michel	LAC	15.6	8	2.0
75	Brandon Bolden	LV	15.2	6	2.5
76	Chuba Hubbard	CAR	14.8	6	2.5
77	Mike Boone	DEN	14.3	6	2.4
78	Avery Williams	ATL	13.8	8	1.7
79	Boston Scott	PHI	13.3	6	2.2
80	Zander Horvath	LAC	13.2	6	2.2
81	Matt Breida	NYG	12.7	8	1.6
82	Reggie Gilliam	BUF	11.7	3	3.9
83	Travis Homer	SEA	11.4	7	1.6
84	Justin Jackson	DET	11.0	7	1.6
85	Raheem Blackshear	CAR	10.9	5	2.2
86	Keaontay Ingram	ARI	10.6	4	2.7
87	Alec Ingold	MIA	10.4	5	2.1
88	Zack Moss	BUF	9.8	5	2.0
89	Phillip Lindsay	IND	8.8	3	2.9
90	DeeJay Dallas	SEA	8.4	9	0.9
91	Gary Brightwell	NYG	7.9	6	1.3
92	Ty Montgomery	NE	7.3	1	7.3
93	Patrick Ricard	BAL	7.0	8	0.9
94	Derek Watt	PIT	6.9	5	1.4
95	Ameer Abdullah	LV	6.6	8	0.8
96	Dare Ogunbowale	HOU	6.2	6	1.0
97	Malcolm Brown	LAR	5.7	3	1.9
98	Jonathan Williams	WAS	5.4	4	1.4
99	Spencer Brown	CAR	5.3	2	2.7
100	Ronnie Rivers	LAR	5.0	2	2.5
101	Hassan Haskins	TEN	4.9	7	0.7
102	Dwayne Washington	NO	4.5	6	0.8
103	Malik Davis	DAL	4.1	1	4.1
103	Elijah Mitchell	SF	4.1	1	4.1
105	Tyrion Davis-Price	SF	3.7	2	1.9
106	Ty Johnson	NYJ	3.6	6	0.6
107	Trestan Ebner	CHI	3.4	6	0.6
108	Myles Gaskin	MIA	3.3	1	3.3
109	Chris Evans	CIN	3.0	7	0.4
110	Jordan Wilkins	IND	2.8	1	2.8
111	D'Ernest Johnson	CLE	2.6	5	0.5
112	Mike Davis	BAL	2.5	4	0.6
113	Isaiah Spiller	LAC	2.4	2	1.2
113	C.J. Ham	MIN	2.4	5	0.5
115	Zamir White	LV	2.0	5	0.4
115	Tony Jones Jr.	Multi	2.0	1	2.0
117	Trey Sermon	PHI	1.9	1	1.9
117	Michael Burton	KC	1.9	6	0.3
119	J.J. Taylor	NE	1.7	1	1.7
120	Keith Smith	ATL	1.0	5	0.2
121	Kylin Hill	GB	0.7	1	0.7
121	Jordan Mason	SF	0.7	4	0.2
123	Jakob Johnson	LV	0.6	5	0.1
124	Pierre Strong Jr.	NE	0.5	4	0.1
124	Kevin Harris	NE	0.5	1	0.5
126	Ke'Shawn Vaughn	TB	0.4	3	0.1
127	Devine Ozigbo	DEN	0.2	1	0.2
127	Adam Prentice	NO	0.2	1	0.2
127	Damien Williams	ATL	0.2	1	0.2
127	Salvon Ahmed	MIA	0.2	2	0.1
131	Khari Blasingame	CHI	0.0	2	0.0
131	John Lovett	FA	0.0	1	0.0
131	Qadree Ollison	DAL	0.0	1	0.0
131	Benny Snell Jr.	PIT	0.0	3	0.0
131	Trayveon Williams	CIN	0.0	1	0.0
131	Trenton Cannon	TEN	0.0	1	0.0
131	La'Mical Perine	MIA	0.0	1	0.0
131	Rico Dowdle	DAL	0.0	2	0.0
131	Jerome Ford	CLE	0.0	4	0.0
131	Jonathan Ward	ARI	0.0	1	0.0
131	Taiwan Jones	BUF	0.0	3	0.0
131	Ty Chandler	MIN	0.0	1	0.0
131	Cullen Gillaspia	SEA	0.0	4	0.0
131	Kene Nwangwu	MIN	0.0	8	0.0
131	Giovani Bernard	TB	0.0	1	0.0
131	Jake Funk	LAR	0.0	1	0.0
131	Patrick Taylor Jr.	GB	0.0	2	0.0
131	Brandin Bryant	BUF	0.0	2	0.0
131	Kenjon Barner	FA	0.0	1	0.0
131	Marlon Mack	SF	0.0	2	0.0
131	Jermar Jefferson	DET	0.0	1	0.0
152	Demetric Felton Jr.	CLE	-0.1	3	-0.0
